GEO_codes,GEO_labels,TFR_2020
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1.60
NL31,Utrecht,1.60
DE14,Tübingen,1.60
BE34,Prov. Luxembourg (BE),1.61
DK01,Hovedstaden,1.61
HU23,Dél-Dunántúl,1.61
SI03,Vzhodna Slovenija,1.63
RO41,Sud-Vest Oltenia,1.63
DEA3,Münster,1.63
DEB1,Koblenz,1.63
AT34,Vorarlberg,1.63
DE27,Schwaben,1.64
FRI1,Aquitaine,1.64
TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",1.64
DE94,Weser-Ems,1.64
SE12,Östra Mellansverige,1.64
EL42,Notio Aigaio,1.64
FRJ2,Midi-Pyrénées,1.65
NL21,Overijssel,1.65
SE33,Övre Norrland,1.65
FRF1,Alsace,1.65
NL22,Gelderland,1.66
FRK1,Auvergne,1.66
TR72,"Kayseri, Sivas, Yozgat",1.66
FRI3,Poitou-Charentes,1.66
RO32,Bucuresti - Ilfov,1.67
DEA4,Detmold,1.67
TR71,"Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir",1.67
SE23,Västsverige,1.67
DED4,Chemnitz,1.67
CZ08,Moravskoslezsko,1.67
DE93,Lüneburg,1.67
SE22,Sydsverige,1.67
HU12,Pest,1.68
DK05,Nordjylland,1.68
FRI2,Limousin,1.68
SK01,Bratislavsk_ kraj,1.69
PT17,Área Metropolitana de Lisboa,1.69
RO11,Nord-Vest,1.69
CZ04,Severozápad,1.69
SE32,Mellersta Norrland,1.70
NL12,Friesland (NL),1.70
ES64,Ciudad de Melilla,1.71
ITH1,Provincia Autonoma di Bolzano/Bozen,1.71
DK03,Syddanmark,1.71
NL34,Zeeland,1.71
IS00,Ísland,1.72
CZ03,Jihozápad,1.72
IE05,Southern,1.72
NL13,Drenthe,1.73
SK04,V_chodné Slovensko,1.73
NL23,Flevoland,1.73
FRD1,Basse-Normandie,1.73
SE31,Norra Mellansverige,1.73
FRF2,Champagne-Ardenne,1.74
FRC1,Bourgogne,1.75
TRB1,"Malatya, Elazig, Bingöl, Tunceli",1.75
CZ02,Strední Cechy,1.75
CZ07,Strední Morava,1.75
CZ06,Jihov_chod,1.75
FRH0,Bretagne,1.75
ME00,Crna Gora,1.75
FRJ1,Languedoc-Roussillon,1.76
DK02,Sjælland,1.76
BG31,Severozapaden,1.76
FRC2,Franche-Comté,1.76
CZ05,Severov_chod,1.76
DK04,Midtjylland,1.76
IE04,Northern and Western,1.77
PT15,Algarve,1.77
RO31,Sud - Muntenia,1.78
HU32,Észak-Alföld,1.81
FRE2,Picardie,1.81
FRK2,Rhône-Alpes,1.82
FRE1,Nord-Pas-de-Calais,1.82
TR62,"Adana, Mersin",1.82
BG34,Yugoiztochen,1.83
FRG0,Pays-de-la-Loire,1.83
TR52,"Konya, Karaman",1.83
FRD2,Haute-Normandie,1.84
SE21,Småland med öarna,1.85
FRB0,Centre - Val de Loire,1.86
RO12,Centru,1.86
RO22,Sud-Est,1.86
FR10,Île de France,1.88
TRA1,"Erzurum, Erzincan, Bayburt",1.88
HU31,Észak-Magyarország,1.88
FRY2,Martinique,1.89
FRL0,Provence-Alpes-Côte d'Azur,1.91
EL41,Voreio Aigaio,1.98
TR63,"Hatay, Kahramanmaras, Osmaniye",2.14
RO21,Nord-Est,2.17
FRY1,Guadeloupe,2.35
FRY4,La Réunion,2.37
TRC1,"Gaziantep, Adiyaman, Kilis",2.44
TRA2,"Agri, Kars, Igdir, Ardahan",2.48
TRB2,"Van, Mus, Bitlis, Hakkari",2.58
TRC3,"Mardin, Batman, Sirnak, Siirt",2.82
TRC2,"Sanliurfa, Diyarbakir",3.15
FRY3,Guyane,3.68
FRY5,Mayotte,4.17
HR02,Panonska Hrvatska,
HR04,Kontinentalna Hrvatska (NUTS 2016),
HR05,Grad Zagreb,
HR06,Sjeverna Hrvatska,
NO01,Oslo og Akershus (statistical region 2016),
NO03,Sør-Østlandet (statistical region 2016),
NO04,Agder og Rogaland (statistical region 2016),
NO05,Vestlandet (statistical region 2016),
NO08,Oslo og Viken,
NO09,Agder og Sør-Østlandet,
NO0A,Vestlandet,
UKC1,Tees Valley and Durham,
UKC2,Northumberland and Tyne and Wear,
UKD1,Cumbria,
UKD3,Greater Manchester,
UKD4,Lancashire,
UKD6,Cheshire,
UKD7,Merseyside,
UKE1,East Yorkshire and Northern Lincolnshire,
UKE2,North Yorkshire,
UKE3,South Yorkshire,
UKE4,West Yorkshire,
UKF1,Derbyshire and Nottinghamshire,
UKF2,"Leicestershire, Rutland and Northamptonshire",
UKF3,Lincolnshire,
UKG1,"Herefordshire, Worcestershire and Warwickshire",
UKG2,Shropshire and Staffordshire,
UKG3,West Midlands,
UKH1,East Anglia,
UKH2,Bedfordshire and Hertfordshire,
UKH3,Essex,
UKI3,Inner London - West,
UKI4,Inner London - East,
UKI5,Outer London - East and North East,
UKI6,Outer London - South,
UKI7,Outer London - West and North West,
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",
UKJ2,"Surrey, East and West Sussex",
UKJ3,Hampshire and Isle of Wight,
UKJ4,Kent,
UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",
UKK2,Dorset and Somerset,
UKK3,Cornwall and Isles of Scilly,
UKK4,Devon,
UKL1,West Wales and The Valleys,
UKL2,East Wales,
UKM5,North Eastern Scotland,
UKM6,Highlands and Islands,
UKM7,Eastern Scotland,
UKM8,West Central Scotland,
UKM9,Southern Scotland,
UKN0,Northern Ireland (UK),
